scrape_date,reit,macro_market,beds,listing_count,avg_rent,median_rent,avg_sqft,rent_per_sqft,concession_rate,avg_concession_value,sp_count,sp_avg_rent_curr,sp_avg_rent_prev,sp_wow_pct,sp_concession_rate_curr,sp_concession_rate_prev,avg_rent_psf,median_rent_psf,avg_eff_rent,avg_eff_rent_psf,sp_avg_rent_psf_curr,sp_avg_rent_psf_prev,sp_wow_pct_psf,sp_avg_eff_rent_curr,sp_avg_eff_rent_prev,sp_wow_pct_eff,sp_avg_eff_rent_psf_curr,sp_avg_eff_rent_psf_prev,sp_wow_pct_eff_psf
2026-04-04,AVB,Austin,1.0,58,1372.0689655172414,1367.5,750.6724137931035,1.827786582144744,1.0,1.5862068965517242,54.0,1380.962962962963,1344.851851851852,0.0268513673542452,1.0,1.0,,,,,,,,,,,,,
2026-04-04,AVB,Austin,2.0,65,1874.707692307692,1970.0,1171.323076923077,1.6005043606178415,1.0,1.676923076923077,60.0,1889.5833333333333,1837.9333333333327,0.0281022162573904,1.0,1.0,,,,,,,,,,,,,
2026-04-04,AVB,Austin,3.0,29,2726.8275862068967,2850.0,1809.655172413793,1.5068216463414636,0.7586206896551724,92.6590909090909,28.0,2722.785714285714,2623.678571428572,0.0377741175830008,0.7857142857142857,1.0,,,,,,,,,,,,,
2026-04-04,AVB,Austin,4.0,1,3435.0,3435.0,1866.0,1.8408360128617365,0.0,,1.0,3435.0,3555.0,-0.0337552742616033,0.0,1.0,,,,,,,,,,,,,
2026-04-04,AVB,Baltimore,0.0,39,1724.2051282051282,1675.0,558.8205128205128,3.085436358630816,0.8974358974358975,1.40625,32.0,1708.9375,1725.65625,-0.009688343202767,0.875,1.0,,,,,,,,,,,,,
2026-04-04,AVB,Baltimore,1.0,209,2140.1100478468898,2120.0,758.9904306220096,2.819679881988791,0.8325358851674641,88.41101694915254,182.0,2156.0274725274726,2161.7417582417584,-0.0026433711115121,0.8461538461538461,0.989010989010989,,,,,,,,,,,,,
2026-04-04,AVB,Baltimore,2.0,167,2611.844311377245,2580.0,1120.3652694610778,2.3312435529473388,0.8562874251497006,219.25,153.0,2613.450980392157,2613.614379084968,-6.25182865988313e-05,0.869281045751634,0.9869281045751634,,,,,,,,,,,,,
2026-04-04,AVB,Baltimore,3.0,33,2900.969696969697,2950.0,1373.6363636363635,2.11189058018972,0.6060606060606061,295.11764705882354,31.0,2918.451612903226,2956.1290322580644,-0.0127455259711915,0.6451612903225806,0.8064516129032258,,,,,,,,,,,,,
2026-04-04,AVB,Boston,0.0,55,2975.3636363636365,3015.0,530.9272727272727,5.604088901065032,0.7818181818181819,613.1627906976744,45.0,2987.111111111112,2968.3555555555554,0.0063185003294006,0.8,0.9555555555555556,,,,,,,,,,,,,
2026-04-04,AVB,Boston,1.0,309,2947.42071197411,2740.0,787.4660194174758,3.742917966358028,0.7799352750809061,497.4273858921162,272.0,2942.8786764705883,2957.496323529412,-0.0049425748875924,0.7830882352941176,0.8088235294117647,,,,,,,,,,,,,
2026-04-04,AVB,Boston,2.0,302,3674.3675496688734,3477.5,1179.291390728477,3.115741858675936,0.8410596026490066,486.601593625498,256.0,3650.4609375,3636.484375,0.0038434270737104,0.8359375,0.84375,,,,,,,,,,,,,
2026-04-04,AVB,Boston,3.0,44,5035.931818181818,4655.0,1545.840909090909,3.2577296852257525,0.8409090909090909,284.31081081081084,37.0,5076.918918918919,5135.189189189189,-0.0113472489763265,0.8378378378378378,0.8378378378378378,,,,,,,,,,,,,
2026-04-04,AVB,Charlotte,0.0,31,1534.516129032258,1545.0,607.483870967742,2.526019541206457,1.0,17.822580645161292,28.0,1539.821428571429,1541.7857142857142,-0.0012740328932127,1.0,1.0,,,,,,,,,,,,,
2026-04-04,AVB,Charlotte,1.0,277,1632.1985559566788,1650.0,796.3393501805054,2.049626902885949,1.0,14.021660649819497,269.0,1633.9553903345725,1638.6951672862454,-0.002892409184023,1.0,1.0,,,,,,,,,,,,,
2026-04-04,AVB,Charlotte,2.0,232,2074.521551724138,2250.0,1235.6939655172414,1.678831174720334,1.0,4.189655172413793,223.0,2087.035874439462,2087.9551569506725,-0.0004402788575943,1.0,1.0,,,,,,,,,,,,,
2026-04-04,AVB,Charlotte,3.0,67,2618.7462686567164,2545.0,1690.8955223880596,1.5487333392179363,1.0,12.313432835820896,66.0,2619.257575757576,2620.318181818182,-0.0004047623177846,1.0,1.0,,,,,,,,,,,,,
2026-04-04,AVB,Dallas/Fort Worth,1.0,178,1397.2696629213483,1350.0,760.8595505617977,1.8364357283675323,0.7584269662921348,89.85185185185185,155.0,1398.7548387096774,1402.2387096774194,-0.0024845063423925,0.7741935483870968,0.967741935483871,,,,,,,,,,,,,
2026-04-04,AVB,Dallas/Fort Worth,2.0,113,1871.283185840708,1760.0,1162.3893805309735,1.609859154929577,0.7610619469026548,163.6220930232558,98.0,1860.5102040816328,1868.877551020408,-0.0044772044772044,0.7448979591836735,0.9693877551020408,,,,,,,,,,,,,
2026-04-04,AVB,Dallas/Fort Worth,3.0,23,2305.217391304348,2170.0,1499.5652173913045,1.5372571759930416,0.8260869565217391,80.0,19.0,2255.5263157894738,2272.1052631578946,-0.0072967338429463,0.8421052631578947,1.0,,,,,,,,,,,,,
